Open time,Open,High,Low,Close,Volume,Taker buy base asset volume,Taker buy quote asset volume,Symbol
2022-01-01 00:00:00,46210.57,46729.73,46210.55,46650.01,8957.465,4777.701,222129624.36157,BTCUSDT
2022-01-01 01:00:00,46650.0,46944.56,46570.34,46766.78,7276.249,3689.837,172618899.69687,BTCUSDT
2022-01-01 02:00:00,46767.44,46917.87,46709.44,46796.14,4478.713,2103.345,98487220.4072,BTCUSDT
2022-01-01 03:00:00,46796.15,46888.0,46746.32,46789.56,4208.992,1928.027,90284098.22469,BTCUSDT
2022-01-01 04:00:00,46789.55,46868.74,46605.0,46690.81,6149.298,2855.818,133405465.06087,BTCUSDT
2022-01-01 05:00:00,46690.81,47566.66,46657.99,47184.18,14988.008,8193.57,386931696.72681,BTCUSDT
2022-01-01 06:00:00,47184.19,47314.4,46914.84,46972.19,7474.84,3343.354,157600895.17479,BTCUSDT
2022-01-01 07:00:00,46972.19,47247.44,46867.0,47186.83,6227.873,3478.601,163677285.82538,BTCUSDT
2022-01-01 08:00:00,47186.83,47338.0,47060.74,47117.84,6294.515,3149.875,148669854.05999,BTCUSDT
2022-01-01 09:00:00,47118.78,47200.0,46920.02,47137.37,5512.434,2654.172,124913145.40701,BTCUSDT
2022-01-01 10:00:00,47137.01,47293.76,46700.09,46864.09,11859.238,5498.752,258247611.32864,BTCUSDT
2022-01-01 11:00:00,46867.57,47003.92,46750.0,46755.01,5755.1,2745.393,128762806.56585,BTCUSDT
2022-01-01 12:00:00,46755.01,47148.0,46755.01,47062.37,6002.673,3280.959,154162658.86416,BTCUSDT
2022-01-01 13:00:00,47062.37,47200.0,46907.65,47005.55,5855.182,2589.425,121858091.34821,BTCUSDT
2022-01-01 14:00:00,47005.55,47105.19,46830.23,46909.2,5335.895,2595.603,121893730.89559,BTCUSDT
2022-01-01 15:00:00,46909.2,47488.64,46860.2,47194.78,11099.98,5853.755,276418647.21555,BTCUSDT
2022-01-01 16:00:00,47194.77,47500.0,47157.59,47249.99,8978.195,4302.957,203773416.5414,BTCUSDT
2022-01-01 17:00:00,47250.0,47943.77,47220.03,47733.16,13824.724,7277.957,346694733.4643,BTCUSDT
2022-01-01 18:00:00,47733.16,47832.04,47400.44,47546.74,9854.73,4504.064,214384380.99707,BTCUSDT
